Product Name,Price,Screen Size
Lenovo ThinkPad E14 Gen 6 (Intel) 21M70013BM,2749.99лв,35.56cm
Lenovo ThinkPad E16 Gen 2 (AMD) 21M5002PBM,1938.99лв,40.64cm
Lenovo ThinkBook 16 G7 IML 21MS004GRM,1699.99лв,40.64 cm
Lenovo V15 G4 IRU 83A1006XRM,759.99лв,39.62cm
Lenovo ThinkBook 14 G7 IML 21MR004HBM,1898.99лв,35.56cm
Lenovo ThinkBook 16 G7 IML (21MS0051RM),1879.99лв,40.64cm
Lenovo LOQ 15IRX9 (83DV0064RM),1659.99лв,39.62cm
Lenovo ThinkBook 14 G7 IML 21MR004HBM,2599.99лв,35.56cm
Lenovo ThinkBook 16 G7 ARP 21MW001MRM,1349.99лв,40.64cm
Lenovo IdeaPad Slim 5 16IRH10 (83HS0032RM),1949.99лв,40.64 cm
Lenovo IdeaPad Slim 5 14IRH10R 83J00020RM,2354.99лв,35.56cm
лаптоп lenovo thinkbook 14 g7 iml 1tb ssd,2129.99лв,35.56cm
Lenovo ThinkPad E14 Gen 6 21M3003PBM,1898.99лв,35.56cm
Lenovo ThinkPad E16 Gen 2 21MA002WBM_32GB,2391.53лв,40.64cm
Lenovo ThinkPad E14 Gen 6 21M3003NBM,2282.02лв,35.56cm
Lenovo IdeaPad 1 15AMN7 82VG00PVBM,755.20лв,39.62 cm
Lenovo ThinkBook 16 G7 IML 21MS0051BM,2039.98лв,40.64cm
Lenovo ThinkPad E14 Gen 6 (Intel) 21M70042BM,1982.65лв,35.56cm
Lenovo Legion Pro 5 16IRX9 83DF006HBM,3535.81лв,40.64cm
Lenovo V15 G4 IRU 83A10077BM,1245.42лв,39.62cm
Lenovo V14 IIL 82C4022DBM,649.60лв,35.56 cm
Lenovo LOQ 15IAX9 83GS00C4BM,2236.25лв,39.62cm
Lenovo IdeaPad 5 2-in-1 16AHP9 83DR0017BM,2087.46лв,35.56cm
Lenovo LOQ 15IAX9E 83LK000PBM,1458.19лв,39.62cm
Lenovo IdeaPad Slim 3 15ABR8 82XM00HQBM,1016.87лв,39.62cm
Lenovo IdeaPad Slim 3 15IAN8 82XB008RBM,765.15лв,39.62 cm
Lenovo ThinkPad E16 Gen 2 21MA002WBM,2283.07лв,40.64cm
Lenovo ThinkPad E14 Gen 6 21M3003MBM,1701.48лв,35.56cm
Lenovo ThinkPad E16 Gen 2 (AMD) 21M5002RBM,2283.07лв,40.64cm
Lenovo IdeaPad Slim 3 15IAH8 83ER001RBM,1122.19лв,39.62cm
Lenovo ThinkPad T14 Gen 5 21ML0033BM,3605.96лв,35.56cm
Lenovo Yoga 7 2-in-1 14IML9 83DJ0010BM,2133.19лв,35.56cm
Lenovo ThinkPad P16v Gen 2 (Intel) 21KX0010BM,8764.06лв,40.64cm
Lenovo LOQ 15IRX9 83DV00HWBM,2586.00лв,39.62cm
Lenovo V15 G4 AMN 82YU00YYBM,715.41лв,39.62cm
Lenovo V15 G4 AMN 82YU00YWBM,625.86лв,39.62cm
Lenovo V17 G4 IRU 83A20026BM,1495.31лв,43.94cm
Lenovo LOQ 15IAX9 83GS00QTBM,1827.70лв,39.62 cm
Lenovo ThinkPad P14s Gen 2 21A0S05600,3094.75лв,35.56cm
